timestamp,uptime_ms,heap_free_kb,heap_min_kb,frag_pct,internal_free_kb,internal_largest_kb,psram_free_kb,pending_upload,pending_enrich,core0_pct,core1_pct,owner
2026-08-08 06:20:27,270791,6252,6227,1,66,31,6186,490,490,0,0,WIFI_CAPTURE
2026-08-08 06:20:27,300796,6252,6227,1,66,31,6186,490,490,0,0,WIFI_CAPTURE
2026-08-08 06:20:27,330799,6247,6227,1,60,31,6186,491,491,1,0,WIFI_CAPTURE
2026-08-08 06:23:27,450822,6247,6226,1,60,31,6186,499,498,0,0,WIFI_CAPTURE
2026-08-08 06:23:27,480828,6247,6226,1,60,31,6186,499,499,0,0,WIFI_CAPTURE
2026-08-08 06:23:27,510830,6247,6226,1,60,31,6186,499,499,3,2,WIFI_CAPTURE
2026-08-08 06:26:28,630844,6247,6226,1,60,31,6186,499,499,1,0,WIFI_CAPTURE
2026-08-08 06:26:28,660847,6247,6226,1,60,31,6186,499,499,0,0,WIFI_CAPTURE
2026-08-08 06:26:28,690853,6247,6226,1,60,31,6186,505,505,7,27,WIFI_CAPTURE
2026-08-08 06:29:28,810873,6246,6226,1,60,31,6186,506,506,0,0,WIFI_CAPTURE
2026-08-08 06:29:28,840881,6246,6226,1,60,31,6186,506,506,3,2,WIFI_CAPTURE
2026-08-08 06:29:28,870889,6246,6226,1,60,31,6186,506,506,0,0,WIFI_CAPTURE
2026-08-08 06:32:29,990911,6246,6226,1,60,31,6186,506,506,0,0,WIFI_CAPTURE
2026-08-08 06:32:29,1020915,6246,6226,1,60,31,6186,506,506,0,0,WIFI_CAPTURE
2026-08-08 06:32:29,1050917,6246,6226,1,60,31,6186,506,506,1,0,WIFI_CAPTURE
2026-08-08 06:35:30,1170938,6246,6226,1,60,31,6186,506,506,0,0,WIFI_CAPTURE
2026-08-08 06:35:30,1200941,6246,6226,1,60,31,6186,506,506,0,0,WIFI_CAPTURE
2026-08-08 06:35:30,1230947,6246,6226,1,60,31,6186,506,506,0,0,WIFI_CAPTURE
2026-08-08 06:38:31,1350969,6246,6226,1,60,31,6186,507,507,1,0,WIFI_CAPTURE
2026-08-08 06:38:31,1380970,6246,6226,1,60,31,6186,507,507,0,0,WIFI_CAPTURE
2026-08-08 06:38:31,1410975,6246,6226,1,60,31,6186,507,507,3,2,WIFI_CAPTURE
2026-08-08 06:41:33,1530983,6246,6226,1,60,31,6186,512,512,0,0,WIFI_CAPTURE
2026-08-08 06:41:33,1560992,6246,6226,1,60,31,6186,512,512,0,0,WIFI_CAPTURE
2026-08-08 06:41:33,1590996,6246,6226,1,60,31,6186,512,512,0,0,WIFI_CAPTURE
